"","text"
"1","jazukai realjeremynolt bbcworld reading   wing conspiracy theories    good"
"2","jazukai realjeremynolt bbcworld   escape globalizationgoing back   middle ages    solution"
"3","fake news "
"4","bbcworld surprised  bbc  reporting "
"5"," herryrodin freeahok religious intolerance   worst kind  crime       leader bbcworld cnni camanpour humanri"
"6"," neopac  fantastic expose  aaps sourabh bharadwaj  doubt  bjp  evmscam ndtv bbcworld nytimes independent "
"7","bbcsport bbcworld  kind  excuse  "
"8"," gutenburggg bbcworld iratebear   risen "
"9","jazukai realjeremynolt bbcworld passports   deport "
"10","indian air force takes aim  gender stereotypes womentalkonline dwnews bbcworld womensweb telewonderwomen "
"11","bbcworld   belive     momen  human history   punishing     stupid thing "
"12","   chinas contribution   world  obor  bbcworld "
"13"," people    travel freely "
"14","jazukai realjeremynolt bbcworld    locally born  wouldnt    deport    illegal immigrants "
"15","salmote narendramodi nytimes timesofindia washingtonpost bbcworld hahaha       court   al "
"16"," younggawhd  low key hate  white supremacist twitter turned   shit "
"17"," kathriller   die  hero  live long       villain "
"18","abc whimby  white clown   bbcworld nbc msnbc"
"19"," yasmins bbcworld im  muslim      unfair   support ahok   shouldnt   prison"
"20","bbcworld     bad politician   reason  put   prison  outrageous    proud  democrat "
"21"," bbcworld state  emergency declared  canadian city  montreal due  flooding caused  torrential rains  melting snow "
"22","bbcworld bubut  part   culture"
"23","china restricts nonchinese companies  work   oborvia bbcworld 

mariaarce
azamarreno
cfontgivellr "
"24","millsspm bbcworld   uk  lucky  germany  soviet union       island   barl "
"25"," student     police    looked    lionel   "
"26"," cagubnyinyir noniekiandry djarotcm abeag dannuprabowo jusfiqhadjar bbc london kritik jokowi
hear  mr 
jokowi  good"
"27"," amedeotarnaucea bbcworld france tvmonde cnn rfiover   canadians           pay bills "
"28"," genevaacademy  director robert roth interviewed  imogenfoulkes bbcworld article    amp  position  humanrights "
"29","bbcworld rumour      kiwifruit pavlova"
"30"," himeshinra    lose faith  indonesian law 
  good man     prison   evil fake prophet runs free htt"
"31","vikasreports ndtv foxandfriends ncbn usfda emanews nsitharaman barackobama narendramodi potus "
"32"," canicols fakemedia cnn  bbcworld told  lie     kidnapped girls  chibok writing waec  book haram  "
"33","puputov     medieval  whip  nails cnni bbcworld hrw washingtonpost wsj venezuela "
"34","bbcworld          bald cucks "
"35"," rileychi bbcworld pls report yulin      dogstorturedbeaten  beathungtorchedskinnedalive  animalan"
"36"," ericpaulsen   shockingly harsh   bode   indonesia "
"37","bbcworld   good mtf"
"38","jazukai realjeremynolt bbcworld law enforcement  "
"39"," student     police    looked    lionel   "
"40","nytimeses cnn foxnews bbcworld nobelprize  nobel     people    "
"41","bbcworld berlin migrants  trial  fire attack  homeless man "
"42","jazukai realjeremynolt bbcworld stopping immigration   utopia nowadays"
"43","jazukai realjeremynolt bbcworld   profoundly wrong     fault   authorities"
"44"," mezdoang  proof   guilty   judge  give guilty verdict afraid  extremist racist  yeah long live indonesia"
"45","bbcworld   evil  coming  europe"
"46","jazukai realjeremynolt bbcworld  error  german police   overlooked aggression  muslim men  year"
"47","china restricts nonchinese companies  work  obor projects viabbcworld "
"48"," ridarubabsayed freekashmir
indianarmy vandalizing  kashmir  theser supposd remain silnt
unhumanrights  europarlen  oi"
"49","bbcworld  floats  boat"
"50"," knownforms hey america south koreans protested  forced corrupt president   office  theyre  holding  elections  "
"51","bbcworld bbcnews         finished   damn  wmds  iraq"
"52","bbcaskthis     government reengage   commonwealth bbcnews bbcworld"
"53","chris froome  claimed   rammed  purpose   car driver     "
"54","jazukai realjeremynolt bbcworld enforcing law     government    utopia"
"55","bbcworld barneyfarmer  aer lingus executive irishaustralian qantas ceo alan joyce  flanned   bu "
"56","bbcworld wake  hell  america"
"57","china restricts nonchinese companies  work  obor projects viabbcworld "
"58","independent   

"
"59","vikasreports ndtv foxandfriends ncbn usfda emanews nsitharaman barackobama narendramodi potus "
"60","fakemedia cnn  bbcworld told  lie     kidnapped girls  chibok writing waec  book haram    sambisa"
"61"," student     police    looked    lionel   "
"62"," wondered   looked    great bob fitzsimmons felled   larger opponent   "
"63","bbcworld berlin migrants  trial  fire attack  homeless man "
"64","rip  boy pepe    forgotten "
"65"," calpalforlife bbcworld bbcnews   thing  made  guilty   hes   muslim ripjusticeinindonesia"
"66","bbcworld  fire   "
"67","  bbcworld   tolerance "
"68","berlin migrants  trial  fire attack  homeless man  bbcworld     pm"
"69","showproofs mndlover bbcworld   instance  send      love       typo encoded "
"70"," nellymuluka ezekielmutua   crime  incite   commit suicide kfcbbansbluewhale ntvtonight citizentvkenya bbcworld ht"
"71","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"72"," ardiyah bbcworld  dont wanna live   country anymore "
"73","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"74"," alabamasugar bbcworld  thought       couple weeks ago leave   freaks"
"75","bbcpeterhunt bbcworld pangcoll dead man walking"
"76","bbcworld berlin migrants  trial  fire attack  homeless man "
"77"," yasmins bbcworld   islams  qurans fault  doesnt matter  religion   majority peoplere gonna    "
"78"," bbcworld  vicepresident joe biden  world  genuine leaders   canadian prime minister justin trudeau
"
"79","bbcworld     cultural enrichment"
"80","fearlessfaith bbcworld  watch    muslin  fabric  pure evil"
"81"," neonazis    weapons   sleeves   continues  german states  integrate  mig "
"82","bbcworld dumpem  disinfect"
"83","bbcworld     real ages   minors    arrested  greece   told   lawyers   theyre "
"84"," davidndii  arc   moral universe  long   bends  justice "
"85","saumil narendramodi nytimes timesofindia washingtonpost bbcworld     betterment   count "
"86","bbcworld  berlin migrants  trial  fire attack  homeless man   twitter "
"87","jayrice bbctennis bbcworld  "
"88","showproofs mndlover bbcworld  intentionality   meaning   sign  fact  semiotics context  "
"89","chris froome  claimed   rammed  purpose   car driver     "
"90","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"91","bbcworld    renewed debate  cctv cameras"
"92","retweeted bbc news world bbcworld

berlin migrants  trial  fire attack  homeless man "
"93","bbcworld bets   short  community service "
"94","berlin migrants  trial  fire attack  homeless man  bbcworld "
"95","berlin migrants  trial  fire attack  homeless man  bbcworld "
"96","berlin migrants  trial  fire attack  homeless man  bbcworld "
"97","berlin migrants  trial  fire attack  homeless man  bbcworld "
"98","berlin migrants  trial  fire attack  homeless man  bbcworld"
"99","bbcworld berlin migrants  trial  fire attack  homeless man "
"100","berlin migrants  trial  fire attack  homeless man "
"101"," worst measles outbreak  minnesota    ill  talking  hospital doctors         gmt bbcworld"
"102","      ntrstng things  mac  yrs ago  mrid  frmer tcher  fell  love    amp promsd marr "
"103"," bbcworld   waterboarding   form  water torture realdonaldtrump  vowed  bring back

 "
"104"," omarabooks  incredible firewomanjo   bbcworld yesterday talking   brilliant book firewoman   jo "
"105","bbcworld  bbcpeterhunt prince philip   queen attending  service  pangcoll  "
"106","neopac ndtv bbcworld independent nytimes  election   punjab goa manipur amp ukhand mcd  cancelled "
"107"," made   choice  everintthings  awkwardgoogle bbcworld accuratetext theeconomist theloaworld guardian thegooglefact abc"
"108","bbcpeterhunt bbcworld pangcoll   dead"
"109","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"110","chris froome  claimed   rammed  purpose   car driver     "
"111"," maschanyet aaaand  thing   world    islam    peaceful religion gee   showing     mosl"
"112","bbcpeterhunt bbcworld pangcoll   read ahca"
"113","bbcworld russia  allies defeated germany  axis powers  nazis  history  brits long suite eh"
"114","showproofs mndlover bbcworld      subaltern finally   control discourse   wresting "
"115"," bbcworld  moment strong winds    topple  truck   highway patrol car  "
"116"," north remembers "
"117","nope   live  forever "
"118"," sophiajaafri aljazeera amnesty bbcworld kenroth defencepk wiseguy rape occurring daily  pmmodielected world org  "
"119"," student     police    looked    lionel   "
"120"," bbcpeterhunt prince philip   queen attending  service  pangcoll   bbcworld"
"121","bbcworld  bbcpeterhunt prince philip   queen attending  service  pangcoll  "
"122"," bbcpeterhunt prince philip   queen attending  service  pangcoll   bbcworld     pm"
"123","salmote narendramodi nytimes timesofindia washingtonpost bbcworld   court   machine  fight    bewakuf"
"124","bbcworld  bbcpeterhunt prince philip   queen attending  service  pangcoll  "
"125","bbcworld great propaganda"
"126","michael bbcworld   call     fact    "
"127","bbcworld bbcnews   thing  made  guilty   hes   muslim ripjusticeinindonesia"
"128","bbcworld  bbcpeterhunt prince philip   queen attending  service  pangcoll  "
"129","bbcworld   kill  enemies  win  justin trudeaux"
"130","bbcworld   bbcpeterhunt prince philip   queen attending  service  pangcoll   "
"131","good     "
"132"," bbcworld somali general amp      bodyguards killed  suicide car bomber police   "
"133","pepe  risen     saviour  white people "
"134","rmcg mndlover bbcworld   realised recently  drinking milk     sign  racist "
"135"," generous   "
"136"," bbcpeterhunt prince philip   queen attending  service  pangcoll  "
"137","gojgic bbcstever bbcworld  yeah  whys "
"138","ezekielmutua   crime  incite   commit suicide kfcbbansbluewhale ntvtonight citizentvkenya "
"139"," bbcworld     device    device    denzel washington  fakenews "
"140","reuters nytimes ap bbcworld       goverment   ti  people inhumane "
"141"," student     police    looked    lionel   "
"142"," kiranpatniak newstvchannel newsworldindia abpnewshindi indiatoday indiatvnews ndtvindia aajtak bbcworld cnni httweets "
"143","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"144","bbcnews bbcworld  evil monster killed  innocent healthy dog"
