"","text"
"1"," davestrong   fake news  fox news  dont know  facts  cnn doesnt kiss trumps ass  fox  stoptheignora"
"2"," deroyoli jakarta governor ahok found guilty  blasphemy  convicted   years jail cnn wsj cnbc  "
"3","blackeggluna foxnews foxnewstech   say    news organization  cnn msnbc etc"
"4","sulley muntari ghanaian  support player boycott  protest  racist abuse  cnn  "
"5"," cnnfc  hears racial abuse every game  italy 

now muntariofficial says hes ready  support  player boycott "
"6"," drshobha cnnnews journalist spreads fake news  gangrape  beef eating   via opindiacom "
"7"," cnn heres  list  celebrities  vow  leave  us  donald trump wins  election "
"8"," cnnpolitics former acting attorney general sally yates says  spoke   white house counsel three times  gen flynn "
"9"," realutsolutions  latest new yorks unitythroughsolutions news  thanks  kaakaahoeprog trumpmyidol"
"10","  genius pill made illegal everywhere except united states   "
"11"," opindiacom new journalist pallavighosh spreads fake news  gangrape  beef eating      att"
"12"," cnn lawsuits claim penn state  failed  adequately address problems  fraternities  "
"13"," ancientthinker cnn another bad hombre   sanctuary city found"
"14"," jajaphd almost  years since apc  elected  nta still hadnt  upgraded  compete favourably  cnn "
"15"," cnn south koreans will elect  new president  tuesday   many   voters north koreas   main issue "
"16"," cnnbrk teen turns    video   dragging throwing woman  pool  posted online officials say "
"17"," bpolarized wow cnn admits democrats lied  america  sell obamacare  via barracudamama"
"18"," drumpfshit new post  yates  questions   trump white  maga draintheswamp crookedhillary "
"19"," cnni   middle   protest  venezuela  violinist plays  national anthem  tear gas canisters flew around  "
"20"," cnn  philippines senator tells  un  reports  extrajudicial killings  based  alternative facts "
"21"," muntariofficial watch  interview  cnn now "
"22"," irmahinojosa cnn   hysterics  trumps tweets  sallyyates  dont see  threats just valid questions    "
"23"," brianstelter whats  lead tonight  cnn msnbc   bbc  afternoons senate hearing  russia  fox obamas sunday ni"
"24","cnn reports   need  know  net neutrality "
"25"," attomeybharti rape  beef tweets   plain incompetence   pallavighosh n sagarikaghose part   larger conspiracy
"
"26","cnn reports opinion comedians lead  trump resistance "
"27","cnn reports  views  colberts offcolor trump joke  firing offense "
"28","sulley muntari ghanaian  support player boycott  protest  racist abuse  cnn "
"29"," actiontime   remember trumprussia treasoninactionthe many paths  trump  russia russiagate theresistance resist "
"30"," cnn two boston doctors   engaged  found dead   penthouse apartment police say  "
"31","donaldtrump    yates  questions   trump white house  cnn       trump"
"32"," amysiskind fun fact  trump skipped  typical daily briefing  intelligence  chose  get   flynn instead  "
"33"," libertyseeds liberals resort  terrorism  trump   maga"
"34","sulliview    us gov mainly  cnn fake lies media want  dead"
"35"," jyotsnadevi new journalist pallavighosh spreads fake news  gangrape  beef eating   akharid"
"36","canadian journalist asked  leave kushner family event  china "
"37"," prisonplanet  culprit turned    national news finally reported   "
"38","im  sure   story hit   hard  something  needs  change  america "
"39"," cnnpolitics  official state department twitter account retweeted  deleted  tweet promoting ivanka trumps new book "
"40"," rogerjstonejr   ericswalwell continue  lie    liar lightweight "
"41"," cnn  new study says epipen products can still deliver  effective dose long    expired  "
"42"," funder congressman classified intel suggests collusion  trump camp amp russia cnn

russiagate trumprussia resist "
"43","whitehouse realdonaldtrump abc cbsnews nbcnightlynews cnn newsweek putinrfeng governmentrf fbi iran tr "
"44","cnn     call dirty war  death squadrons now"
"45","cnn killed   illegal"
"46","north korea detains fourth us citizen cnni "
"47","cheaper  stronger  adderall according   fda leak   "
"48"," designyourroom cheaper  stronger  adderall according   fda leak   "
"49"," wealthy chinese citizens  lining   pay k  us visas   cnn via cnvey "
"50"," euvoteleaverd  brilliant katiehopkins sums   fakery  
emmanuelmacron  bbc sky usa uk eu "
"51"," cnnpolitics  many paths  president donald trump  russia  "
"52"," michakobs khansheikhoun bomb remains odab   khab sarin bomb
hrw amp bellingcat wrong 

cnn spiegel nytimes guardian "
