"","text"
"1","remtweet rovalo gvravel cnn   devastating news "
"2"," cnnpolitics sally yates  president donald trumps travel ban  believed    unlawful "
"3","accidental diet trick makes  lose  kilo  day   "
"4"," cnn correction  canadian  american journalist    asked  leave  kushner family event  china  "
"5"," cnn  philippines senator tells    reports  extrajudicial killings  based  alternative facts "
"6"," corrynmb potus  consistent   views  cnn  watch trumps face     realizes  journalist agenda amp ends "
"7"," cnn  measles outbreak  minnesota    prevented  vaccines health officials   "
"8","cnns toobin extremely chilling   flynn     white house    leaks  tuesdaythoughts"
"9"," funder congressman classified intel suggests collusion  trump camp amp russia cnn

russiagate trumprussia resist "
"10"," president  threatening  witness cnn analyst slams trumps   thewillowghost  "
"11"," cnn jimmy carter  bernie sanders  yall    voted    "
"12","quote  correctly cnn"
"13"," cnnpolitics katy perry promises   political    album  "
"14"," cnnbrk interior department freezes work     science advisory boards  committees   memo "
"15"," kazeskyz  hasnt donlemon     cnn apologized  scottienhughes 

 kfile dylanbyers brianstelter

sall"
"16"," cnnnews aamaadmiparty   showing    prototype evm   prove  charges   evm hackathon chal"
"17"," cnn  president trumps emphasis  border security drug smugglers continue   waterway routes    "
"18","honnecraft cnn yates   responsibility  inform wh counsel   facts  hadshe   support xoconst "
"19"," josephardito cnnnbccbsmsnbccnbc fox amp  subsidiaries including  newspapers  owned  soros  clintons amp murdock  es"
"20","note  cnn  honestly reporting   abc   confusing time  live  "
"21","florida teenager turned    police  online video showing  dragging amp   "
"22"," ritapanahi ahok  christian  crime   read  passage  koran  show     muslims  vote   nonmuslim
"
"23","israeli prime minister netanyahu slams  york times  cnn  fake news  hamas "
"24"," prisonplanet  culprit turned    national news finally reported   "
"25","jimmy carter  bernie sanders  yall    voted    "
"26","  president obama  speak  climate change  food supply   seeds  chips summit  italy "
"27"," usa slogan bring   healthy awake  wealthy        countrybecause  rea "
"28","cnn jimmy carter  bernie sanders  yall    voted    "
"29"," president trumps emphasis  border security drug smugglers continue   waterway routes    "
"30","flight canceled brawl breaks  "
"31"," rawstory cnn panel    rails  april ryan slams jason miller  blaming obama  flynn  "
"32","bieber concert pulling    stops "
"33"," cnnbrk federal judge scrutinizing  intent  trumps travel ban   president  disavowed muslim ban rhetoric "
"34"," jajaphd   years  apc  elected  nta  hadnt  upgraded  compete favourably  cnn "
"35","cnn chachingchaching   taste   molla    speech     "
"36","cnn   president obama  speak  climate change  food supply   seeds  chips summit   "
"37","parental burnout    thing "
"38"," thehill cnn anchor trumps tweet  sally yates  witness intimidation  "
"39","jakarta governor ahok sentenced   years  prison   found guilty    cnnbrk  cnvey"
"40"," kthopkins cnn linking macron win  anti trump sentiment  europe  opposite   forgotten france wishes    voice "
"41","monaco fans delight  season   lifetime "
"42"," cnn  hiring trump mouthpiece jason miller    mistake    continues   unwatchable"
"43","jimmy carter  bernie sanders  yall    voted    "
"44"," khalidalbaih part  cnn profile  khartoon check   rest  link   sudan doha "
"45","  president obama  speak  climate change  food supply   seeds  chips summit  italy "
"46"," curlyndoris um stephenmoore   company  work  cnn medicare  medicaid    saved  cuts "
"47"," cnn   president obama  speak  climate change  food supply   seeds  chips summit  italy "
"48"," cnnbrk jakarta governor ahok sentenced   years  prison   found guilty  blasphemy "
"49"," cnn  final proposals   planned troop increase  afghanistan  expected  hit  pres trumps desk  week "
"50","monaco fans delight  season   lifetime  "
"51"," cnnbrk senate confirms heather wilson  president trumps   secretary   air force  "
"52","monaco fans delight  season   lifetime "
"53"," christiebarbie wow steve rattner  dropped  major facts  realdonaldtrump budgetits pretty  powerless morningjoe"
"54"," jbkschlossberg   honor  write  cnnopinion piece  jfk profileincourage award honoree bobinglis "
"55","israeli soldiers abduct    palestinians   occupied westbank  imemc news  boycottisrael cnn bbc"
"56","macron defeats populism  france    work  trump "
"57"," cnn  american journalist    asked  leave  kushner family event  china  "
"58","meralco rates      cnnphnewsnight  "
"59"," cnnfc  hears racial abuse  game  italy 

 muntariofficial  hes ready  support  player boycott "
"60"," cnnbrk president trump  decide  week     troops   send  afghanistan source  "
"61","jimmy carter  bernie sanders  yall    voted    "
"62","  president obama  speak  climate change  food supply   seeds  chips summit  italy "
"63","good morning foxandfriends  guys  good today     sad sacks  fakenews cnn   soooo boooorrrrring"
"64"," orleans sued  planned removal  confederate statue  cnn "
"65","cnns stephen moore accidentally confirms trump  lying  commitment   medicaid "
"66"," cnnbrk correction president trump   presented  options  week     troops  sends  afghanistan "
"67","critics visa program touted  kushners    wealthy foreigners  buy  green   "
"68"," frankieverschu  yates  questions   white house cnnpolitics "
"69","cnn newday   miller  hes      waste  time sallyyates"
"70"," marksimoneny media refuses  report    current   employees   suing cnn  racism "
"71","hey newday id   wake   jasonmillerindc   lies cnn"
"72"," safetypindaily   rightists  curse  trumps    cnni 
"
"73"," alanhawk  grifter family trump  americas russian mafia dons  selling america    highest biddersand evilangelica"
"74"," cnnbrk donald trump jr calls  indiana republicans  stay active  recent gop wins  reinvigorated  democrats "
"75","  president obama  speak  climate change  food supply   seeds   cnn  cnvey"
"76","blah blah blah jasonmillerindc trump    wrong   suck   cnn analyst   "
"77","mikeahernpoliti
purpose   tweet   highlight cnn bias       outcome   md rape case"
"78"," brianstelter whats  lead tonight  cnn msnbc   bbc  afternoons senate hearing  russia  fox obamas sunday ni"
"79","cnn drain  ocean sad"
"80"," cnn john oliver revisits  issue  net neutrality amid threat  rollbacks  "
"81","st rule   flat belly lose  kilo  day   bizarre trick   "
"82","cnn       showing    herpes infection isnt "
"83"," funder trump amp foxnews chairmans relationship raises conflictofinterest questions cnn

russiagate trumprussia resist "
"84"," cnnpolitics rep evan jenkins  challenge sen joe manchins seat  west virginia   "
"85","aamaadmiparty bjpdelhi aamaadmiparty   answer   issue  corruption levelled   bjp leader rp singh  cnnnews"
"86","kiannady wer    nasa cnn amp anc kaba laturrr   pls  pls pls pls"
"87","jimmy carter  bernie sanders  yall    voted    "
"88"," cnni  mtv awards genderless acting categories   nice idea writes rmbodenheimer   wont solve inequality "
"89"," frankpallotta jimmykimmel returns  talk health care  son  reaction   emotional speech  week "
"90"," cnnpolitics  white house highlights clappers lack  evidence  trumprussia collusion  "
"91","cnn    satellite system  monitoring  border    job"
"92"," cillizzacnn  times    week democrats  pushed  story  trumprepublicans  turned     

"
"93"," cnni  american journalist    asked  leave  kushner family event  china  "
"94","  fights republican senators    health care  politics "
"95"," cnnbrk correction proposals   planned troop increase  afghanistan  expected  cross trumps desk  week "
"96","red sox fans action leads  ban  man   racial slur cnnsport "
"97","paying  play   donald     kushner trumprussia resisttrump "
"98","canadian journalist asked  leave kushner family event  china "
"99"," pledge trumps wall     illegal drugs   border patrol marine unit "
"100","sethabramson limeavocado cnn considers  sunrise   breaking news"
"101","cnn     lot     stand  idea      obama  hrc   wanted wall"
"102"," cnnsitroom sally yates  told white house  national security adviser michael flynn   blackmailed   russians "
"103"," cnn florida teenager turned    police  online video showing  dragging amp throwing  woman   pool "
"104"," cnnbrk teen turns    video   dragging throwing woman  pool  posted online officials  "
"105","cnn  attempted murder"
"106"," angguncipta  pressure   extremists won  faith   indonesian justice    "
"107"," real president  speak finally potus "
"108"," cnn  acting attorney general sally yates   warned  white house  michael flynn   blackmail risk "
"109"," cnnbrk richard simmons sues tabloids  sex change stories "
"110"," cnn  final proposals   planned troop increase  afghanistan  expected  hit  pres trumps desk  week "
"111","cnn      talking "
"112"," tombxm  democrats heads  ready  explode  fake narrative 
 sallyyates cnn morningjoe tcot 
wakeupamerica "
"113","

desperately   change  subject realdonaldtrump    statement amp turn   russia yates"
"114","prisonplanet  taking  rare   cnn  read  article    percent   headlines   de "
