"","term","freq"
"bbcworld","bbcworld",447
"police","police",71
"looked","looked",68
"lionel","lionel",67
"student","student",67
"macron","macron",37
"cnvey","cnvey",27
"amp","amp",25
"afghanistan","afghanistan",25
"man","man",24
"bbcnews","bbcnews",24
"troops","troops",22
"human","human",21
"send","send",21
"fight","fight",21
"taliban","taliban",20
"nytimes","nytimes",19
"guilty","guilty",19
"amazing","amazing",19
"ancient","ancient",19
"finds","finds",19
"haul","haul",19
"unveiled","unveiled",19
"victory","victory",19
"ww","ww",19
"president","president",18
"french","french",18
"ahok","ahok",17
"good","good",16
"blasphemy","blasphemy",16
"scenes","scenes",16
"frances","frances",15
"military","military",15
"cnni","cnni",14
"people","people",14
"fire","fire",14
"found","found",14
"bbcstever","bbcstever",14
"manuel","manuel",14
"valls","valls",14
"news","news",13
"muslim","muslim",13
"indonesia","indonesia",13
"attack","attack",13
"berlin","berlin",13
"homeless","homeless",13
"migrants","migrants",13
"trial","trial",13
"governor","governor",13
"jakarta","jakarta",13
"expm","expm",13
"mp","mp",13
"parade","parade",12
"praises","praises",12
"putin","putin",12
"vladimir","vladimir",12
"jazukai","jazukai",11
"realjeremynolt","realjeremynolt",11
"ndtv","ndtv",11
"bbcsport","bbcsport",11
"world","world",11
"bbcpeterhunt","bbcpeterhunt",11
"pangcoll","pangcoll",11
"day","day",11
"bbc","bbc",10
"independent","independent",10
"hate","hate",10
"cnn","cnn",10
"car","car",10
"trump","trump",10
"pepe","pepe",9
"outgoing","outgoing",9
"service","service",9
"prince","prince",9
"queen","queen",9
"neopac","neopac",8
"soviet","soviet",8
"france","france",8
"chris","chris",8
"claimed","claimed",8
"driver","driver",8
"froome","froome",8
"purpose","purpose",8
"rammed","rammed",8
"doesnt","doesnt",8
"realdonaldtrump","realdonaldtrump",8
"attending","attending",8
"philip","philip",8
"killed","killed",8
"twitter","twitter",7
"im","im",7
"prison","prison",7
"china","china",7
"work","work",7
"foxnews","foxnews",7
"pm","pm",7
"religion","religion",7
"sad","sad",7
"ukrainian","ukrainian",7
"back","back",6
"obor","obor",6
"narendramodi","narendramodi",6
"washingtonpost","washingtonpost",6
"long","long",6
"companies","companies",6
"nonchinese","nonchinese",6
"restricts","restricts",6
"jokowi","jokowi",6
"country","country",6
"guardian","guardian",6
"india","india",6
"years","years",6
"veterans","veterans",6
"security","security",6
"crime","crime",5
"kind","kind",5
"indian","indian",5
"thing","thing",5
"live","live",5
"support","support",5
"politician","politician",5
"hear","hear",5
"london","london",5
"mr","mr",5
"evil","evil",5
"venezuela","venezuela",5
"projects","projects",5
"mndlover","mndlover",5
"dont","dont",5
"leave","leave",5
"thought","thought",5
"matter","matter",5
"talking","talking",5
"islam","islam",5
"russia","russia",5
"aajtak","aajtak",5
"abpnewshindi","abpnewshindi",5
"indiatoday","indiatoday",5
"ndtvindia","ndtvindia",5
"newstvchannel","newstvchannel",5
"make","make",5
"shame","shame",5
"arvindkejriwal","arvindkejriwal",5
"makes","makes",5
"peace","peace",5
"training","training",5
"heavy","heavy",5
"kiev","kiev",5
"mark","mark",5
"prepare","prepare",5
